STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USC00414333,1/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,172,111
USC00414333,1/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,128
USC00414333,1/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",81,0,211,72
USC00414333,1/31/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,122,22
USC00414333,2/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,150,0
USC00414333,2/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,11
USC00414333,2/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,183,11
USC00414333,2/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,200,89
USC00414333,2/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",737,0,167,133
USC00414333,2/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,183,106
USC00414333,2/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,222,72
USC00414333,2/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,206,33
USC00414333,2/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,211,33
USC00414333,2/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,211,39
USC00414333,2/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,56
USC00414333,2/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,83
USC00414333,2/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,156
USC00414333,2/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,72
USC00414333,2/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,244,44
USC00414333,2/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,156,33
USC00414333,2/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,189,67
USC00414333,2/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",10,0,222,189
USC00414333,2/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",28,0,233,156
USC00414333,2/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",10,0,194,106
USC00414333,2/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",434,0,144,94
USC00414333,2/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",122,0,144,89
USC00414333,2/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,139,39
USC00414333,2/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,194,44
USC00414333,2/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,194,72
USC00414333,2/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",41,0,167,50
