STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USW00093812,9/24/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,9/25/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,9/26/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,9/27/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,9/28/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",10,0,0,0
USW00093812,9/29/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",3,0,0,0
USW00093812,9/30/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,11/1/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,11/2/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",10,0,0,0
USW00093812,11/3/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",91,0,0,0
USW00093812,11/4/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,11/5/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",602,0,0,0
USW00093812,11/6/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",30,0,0,0
USW00093812,11/7/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,11/8/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
USW00093812,11/9/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",36,0,0,0
USW00093812,11/10/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",53,0,0,0
USW00093812,11/11/1948,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0,0,0,0
